postid,pagename,platform,year,month,day,type,url,message,timestamp,sdg,sdgrelev,sdgcat,abstractmes
A18327,Estee Lauder,Facebook,2020,2,3,Native Video,https://www.facebook.com/EsteeLauder/posts/10159197318297619,"Your skin never sleeps â€“get your beautiful #SkinInRhythm look with #AdvancedNightRepair! Our #serum featuring hyaluronic acid and exclusive ChronoluxCBâ„¢ Technology helps you wake up glowing, despite your lack of beauty sleep! ðŸ˜‰Shop now: https://estee.cm/2Od2Ce1:=:https://www.esteelauder.com/skin-care/advanced-night-repair?utm_medium=organic_social&utm_source=facebook&utm_campaign=organic_social&utm_content=sp20_anr_skin_rhythm _2.3.20_&linkId=100000010378770",2/15/2021 11:35,0,1,,
A8335,Chipotle Mexican Grill,Facebook,2020,9,8,Photo,https://www.facebook.com/chipotle/posts/10158634133389253,"And if you use promo code â€œ4FAMILYâ€ when you order 4+ entrÃ©es, youâ€™ll get a free Large Chips & Guac. Chipotle app or website only, 9/8-13/20, w/ 4+ entrÃ©es. US only. Add'l terms apply; see chip.tl/fam:=:https://chipotle.com/family.",2/4/2021 12:23,0,1,,
A18362,Estee Lauder,Facebook,2020,7,31,Photo,https://www.facebook.com/EsteeLauder/posts/10159851629517619,Something *advanced* (ðŸ˜) is coming TOMORROWâ€¦ Check this space tomorrow so you don't miss out! âœ¨,2/15/2021 6:36,0,1,,
A6647,CarMax,Facebook,2020,10,5,YouTube,https://www.facebook.com/CarMax/posts/10157840682606194,"The Dodge Charger and Challenger: Same engine, almost same performance â€“â€“ so which is the right Dodge muscle car for you?",2/5/2021 11:28,0,1,,
A1958,Audi USA,Facebook,2019,9,9,Photo,https://www.facebook.com/audi/posts/10156279745851470,"Captivating performance unveiled. The next-generation #AudiRS7, heading stateside in 2020. audi.us/AudiRS7",3/8/2021 3:33,0,1,,
A1970,Audi USA,Facebook,2019,10,11,Photo,https://www.facebook.com/audi/posts/10156311088166470,Bending time and space. #WantAnR8 #EuroSpec,3/8/2021 3:42,0,1,,
A18259,Estee Lauder,Facebook,2019,10,15,Native Video,https://www.facebook.com/EsteeLauder/posts/10158813175577619,Maximize every second of beauty sleep with #AdvancedNightRepair. âœ¨ Unleash the power of our number one serum. Shop the #PowerOfNight here: https://estee.cm/2IzftnS:=:https://www.esteelauder.com/product/681/26959/product-catalog/skincare/advanced-night-repair/synchronized-recovery-complex-ii?utm_medium=organic_social&utm_source=facebook&utm_campaign=organic_social&utm_content=sp18_anrcampaign_10.17.19_&linkId=100000008463536,2/5/2021 1:44,0,1,,
A40126,Pepsi,Facebook,2020,10,2,Photo,https://www.facebook.com/PepsiUS/posts/10159260417574050,"Itâ€™s all in the sauce....Pepsi BBQ sauce specifically. Check out the recipe below. INGREDIENTS Â¼ tsp garlic powder 1 Â½ tbs onion powder 2 tablespoons butter 2 Â½ cups ketchup 8 oz Pepsi 1 Â½ tablespoon Worcestershire sauce 1 teaspoon mustard 2 tablespoons apple cider vinegar INSTRUCTIONS Add garlic powder, onion powder, butter into large saucepan and bring to medium heat. When butter is melted, add remaining ingredients and simmer. Stir occasionally until thick. Serve with desired meat and enjoy with Pepsi (of course).",3/1/2021 9:01,0,1,,
A40124,Pepsi,Facebook,2020,9,10,Native Video,https://www.facebook.com/PepsiUS/posts/10159201172864050,Grab an ice-cold Pepsi and a room-temperature TV remote. Football season is here,3/1/2021 9:01,0,1,,
A40123,Pepsi,Facebook,2020,9,7,Photo,https://www.facebook.com/PepsiUS/posts/10159193035919050,"Be the Pepsi chef you want to see in the world. Recipe below ðŸ‘‡ INGREDIENTS: Pork shoulder 8 oz Pepsi 12 oz bottle BBQ sauce 1 Â½ garlic powder Â½ tsp onion powder Salt & pepper to taste 2 tbs hot sauce (optional) INSTRUCTIONS: Spray crock pot with cooking spray and place pork inside. Pour Pepsi, 8 oz BBQ sauce, garlic powder, onion powder, and hot sauce (if you like a kick). Cover and set on high for 6 hours or until thoroughly cooked. Remove pork, shred, and place back in sauce for another hour on low. Serve on buns and with Pepsi (of course).",3/1/2021 9:00,0,1,,
A9716,Coca-Cola,Instagram,2019,12,23,Photo,https://www.instagram.com/p/B6bXR-mpi-T/,"Miniature artist @lorraineloots, proving that big cheer comes in small packages. ðŸ¤—",3/4/2021 7:46,0,1,,
A8287,Chipotle Mexican Grill,Facebook,2019,10,21,Photo,https://www.facebook.com/chipotle/posts/10157656186789253,"You can, but like...",2/3/2021 9:56,0,1,,
A1959,Audi USA,Facebook,2019,9,10,Photo,https://www.facebook.com/audi/posts/10156281786866470,Ace any obstacle course. #quattro #ThatQ3Life,3/8/2021 3:33,0,1,,
A6693,Cartier,Facebook,2019,10,16,Photo,https://www.facebook.com/cartier.usa/posts/1448263985350838,"With a dial centered between a rectangle and an oval, the Tonneau's shape makes a bold statement, pushed even further by the double skeleton housed in its case.",2/10/2021 5:06,0,1,,
A18244,Estee Lauder,Facebook,2019,9,21,Photo,https://www.facebook.com/EsteeLauder/posts/10158738507012619,Thereâ€™s a reason why Lipstick Envy in Rebellious Rose is our #1 shade around the world: itâ€™s the perfect shade for work or play. Grab it now in our limited edition pink packaging to flash your inner rebel (or is it your inner rose?): https://estee.cm/2ksysYxâš¡ðŸŒ¹,2/5/2021 1:28,0,1,,
A52528,Tide,Facebook,2020,5,8,Native Video,https://www.facebook.com/Tide/posts/10157446259758231,Check out these #TideTraining moves from the Jacksonville Jaguars. Show us your #TideTraining,3/4/2021 12:11,0,1,,
A40156,Pepsi,Instagram,2020,1,20,Photo,https://www.instagram.com/p/B7i7Np8AOaJ/,"Youâ€™re a master at hiding your feelings, which is a bummer for your Valentine.",3/1/2021 9:19,0,1,,
A40129,Pepsi,Instagram,2019,9,14,Video,https://www.instagram.com/p/B2ZcdL1Hwpc/,Using our platform during this fashion-filled week to promote a whole other kinda platform (and then some).,3/1/2021 9:06,0,1,,
A7859,Chase,Facebook,2020,5,4,Native Video,https://www.facebook.com/chase/posts/4420254061333850,"Looking for some new dishes to cook at home? Tune in tonight to Eaterâ€™s Instagram Live for â€œNights In,â€ in partnership with #ChaseSapphire. This week-long series features cooking demos and Q&As with some of our favorite foodiesâ€”all in support of World Central Kitchen: https://bit.ly/2YwmUVC:=:https://www.eater.com/ad/21239107/chase-sapphire-eater-nights-in-livestream-instagram-world-central-kitchen",3/4/2021 3:11,0,1,,
A40162,Pepsi,Instagram,2020,2,26,Photo,https://www.instagram.com/p/B9CJNg4njUm/,This art really POPS
 ðŸŽ¨: @farbrausch_art,3/1/2021 9:22,0,1,,
A26182,Huawei Mobile,Facebook,2019,9,13,Photo,https://www.facebook.com/HuaweimobileUS/posts/2463010733738295,"How have you been enjoying your MateBook? We would love to hear from you. If you havenâ€™t gotten one yet, get up to $300 off while supplies last: http://bit.ly/2UXo24c:=:https://www.microsoft.com/en-us/search?q=huawei #HUAWEIMateBook #MateBook #Laptop",2/15/2021 7:31,0,1,,
A52500,Tide,Facebook,2019,9,26,Native Video,https://www.facebook.com/Tide/posts/10156764861803231,"The #LaundryNight debate has officially gotten out of hand. Can someone settle this, please?! ðŸ˜­",3/4/2021 11:54,0,1,,
A40103,Pepsi,Facebook,2020,1,30,Photo,https://www.facebook.com/PepsiUS/posts/10158402051934050,"You can experience every star-studded moment from #SBLIV with the live visual album. Jennifer Lopez & Shakira's #PepsiHalftime performance, Demi Lovato's â€œNational Anthem,â€ and Yolanda Adams' â€œAmerica the Beautiful,â€ it has it all. Pre-save yours right now! NFL.com/SuperBowlLive:=:http://smarturl.it/SuperBowlLive1",3/1/2021 8:18,0,1,,
A6706,Cartier,Facebook,2019,11,30,Link,https://www.facebook.com/cartier.usa/posts/1490396261137610,A harmony in diamonds. #CartierDiamonds #CelebratewithCartier ow.ly/vYi830pWR28:=:https://www.cartier.com/en-us/collections/jewelry/selections/diamond-collection.html?utm_source=facebook&utm_medium=social-cm&utm_campaign=endofyearcampaign,2/10/2021 5:13,0,1,,
A6733,Cartier,Facebook,2020,4,17,Photo,https://www.facebook.com/cartier.usa/posts/1621577764686125,A game of contrasts. The new Clash de Cartier is now available on Cartier.com. ms.spr.ly/6000T5mLQ:=:https://www.cartier.com/en-us/collections/jewelry/collections/clash-de-cartier/clash-de-cartier-rings.html?utm_source=facebook&utm_medium=social-cm&utm_campaign=clash2020,2/10/2021 5:32,0,1,,
A18344,Estee Lauder,Facebook,2020,3,2,Native Video,https://www.facebook.com/EsteeLauder/posts/10159293408262619,"From work to play and everything in between, count on Double Wear Makeup to keep your complexion looking flawless, 24/7. Wear Confidence with foundation thatâ€™s life proof, no matter what comes your way. Shop your shade now: https://estee.cm/2Ie24B6:=:https://www.esteelauder.com/product/643/22830/product-catalog/makeup/face/foundations/double-wear/stay-in-place-makeup?utm_medium=organic_social&utm_source=facebook&utm_campaign=organic_social&utm_content=video_dwsip_hero15s_3.2.19_",2/15/2021 2:26,0,1,,
A52496,Tide,Facebook,2019,9,22,Native Video,https://www.facebook.com/Tide/posts/10156756301463231,"Only 16 Sundays to support your team, and you'd sacrifice that for #LaundryNight?! Actually wait, on second thought...",3/4/2021 11:51,0,1,,
A18294,Estee Lauder,Facebook,2019,12,7,Photo,https://www.facebook.com/EsteeLauder/posts/10158997265392619,Mediterranean Honeysuckle or Amber Musk? Which AERIN fragrance are you wishing for this #holiday season? Discover more here: https://estee.cm/2Ctrp7f,2/15/2021 11:15,0,1,,
A8371,Chipotle Mexican Grill,Instagram,2020,4,14,Photo,https://www.instagram.com/p/B--D2uujn-f/,Round 2 of feel good delivery! Tag a friend below and we might send them a burrito.,2/5/2021 2:29,0,1,,
A40095,Pepsi,Facebook,2019,9,6,Native Video,https://www.facebook.com/PepsiUS/posts/10157921555384050,"We're 99% sure the game won't start without us. Buy 2, Save $2 on Pepsi and Frito-Lay using DG Digital Coupons, expires 9/22",2/10/2021 11:28,0,1,,
A2041,Audi USA,Facebook,2020,4,16,Photo,https://www.facebook.com/audi/posts/10156860937046470,Itâ€™s whatâ€™s on the inside that counts. #WantAnR8 #EuroSpec,3/15/2021 2:03,0,1,,
A18345,Estee Lauder,Facebook,2020,3,4,Native Video,https://www.facebook.com/EsteeLauder/posts/10159299357837619,"Meet our iMatchâ„¢ Virtual Shade Expert: It takes all the mystery out of finding your shade. See results in seconds for your most flattering shades revealed, then virtually applied on you. Find an EstÃ©e Lauder location near you: https://estee.cm/39jcaMK:=:https://www.esteelauder.com/store_locator?utm_medium=organic_social&utm_source=facebook&utm_campaign=organic_social&utm_content=video_imatch_15s_3.4.19_",2/15/2021 2:26,0,1,,
A18290,Estee Lauder,Facebook,2019,12,2,Photo,https://www.facebook.com/EsteeLauder/posts/10158979915857619,Work can wait! Receive a free 7-piece gift set with a $50 purchase! Spend $150 and receive a full-size Advanced Night Repair Eye Matrix. Code: CYBER19. Shop now: https://estee.cm/2qWkEsB,2/15/2021 11:13,0,1,,
A40060,PayPal,Facebook,2020,5,22,Native Video,https://www.facebook.com/PayPalUSA/posts/10159863782099573,Get your business online and keep selling with PayPal. Learn more here. https://bit.ly/3cQrkuR:=:https://www.paypal.com/us/webapps/mpp/adapt-your-business?utm_content=sf122888266&utm_medium=spredfast&UTM_source=Spredfast&sf122888266=1#online-store,3/2/2021 12:36,0,1,,
A36852,Nike,Instagram,2020,5,23,Video,https://www.instagram.com/p/CAiNzopguJS/,"No matter what weâ€™re up against, we are never too far down to come back. #YouCantStopUs
 â €
 See link in bio to join us.",3/2/2021 8:21,0,1,,
A18352,Estee Lauder,Facebook,2020,3,13,Photo,https://www.facebook.com/EsteeLauder/posts/10159330610657619,"Our latest gift with purchase may be hard to believe but, seeing is believing! For a limited time at Macy's, you can choose between our Resilience Multi-Effect or Revitalizing Supreme+ gift sets when you make a purchase of $39.50 or more. Hurry before the sets are all gone: https://mcys.co/2Q6kdVD:=:https://www.macys.com/shop/product/choose-your-free-7-pc-gift-with-any-39.50-estee-lauder-purchase.-a-144-value?id=10484119&categoryid=33607&utm_medium=organic_social&utm_source=facebook&utm_campaign=organic_social&utm_content=image_gwp_43901_",2/15/2021 2:34,0,1,,
A40159,Pepsi,Instagram,2020,1,21,Video,https://www.instagram.com/p/B7mW8kZj5Ce/,"We don't follow style trends, we set them ðŸ•¶ï¸.",3/1/2021 9:20,0,1,,
A2025,Audi USA,Facebook,2020,2,28,Photo,https://www.facebook.com/audi/posts/10156717437791470,Every drive is a hyperdrive. #AudiTTRS #SpeedGoals,3/15/2021 1:57,0,1,,
A52527,Tide,Facebook,2020,5,8,Native Video,https://www.facebook.com/Tide/posts/10157446030723231,Missing the gym? Home workouts you can do with just a bottle of Tide from your own home. Show us your #TideTraining routine,3/4/2021 12:11,0,1,,
A7781,Chase,Facebook,2020,2,4,Native Video,https://www.facebook.com/chase/posts/4093104487382144,"Weâ€™ve all got goals, and building a savings account can help you reach yours. Planning a wedding or dream vacation? Watch our Facebook Story to learn how you can save as little as $1 every day to help you reach specific goals with Chase Autosave.",3/3/2021 6:45,0,1,,
A18264,Estee Lauder,Facebook,2019,10,19,Photo,https://www.facebook.com/EsteeLauder/posts/10158828873482619,"""Amber Musk is a warm, inviting scent you want to wrap yourself in - like a soft cozy blanket on a cold snowy night."" - Aerin. Discover more about #AmberMusk by AERIN here: https://estee.cm/2Outabl",2/5/2021 1:47,0,1,,
A7807,Chase,Facebook,2020,3,24,Native Video,https://www.facebook.com/chase/posts/4264540253571899,"Need to deposit a check, but canâ€™t get to a branch right now? Weâ€™ve got you covered. You can deposit checks virtually anytime, anywhere in the Chase MobileÂ® app. Watch the video to see how and click here for tips: https://www.chase.com/digital/resources/helpful-tips",3/3/2021 8:55,0,1,,
A52506,Tide,Facebook,2020,2,2,Native Video,https://www.facebook.com/Tide/posts/10157137404328231,"Charlie Day looks for later in 1436. Look, a stain! #LaundryLater",3/4/2021 11:57,0,1,,
A40066,PayPal,Facebook,2020,6,26,Native Video,https://www.facebook.com/PayPalUSA/posts/10159976045204573,"The Roots Picnic is going live on Saturday, June 27 â€” this year as a virtual experience! Click the link below to shop the Roots Picnic Marketplace â€” Powered by PayPal and support small, Black-owned businesses from across the United States: https://bit.ly/2Nv5MsL:=:http://rootspicnic.com/philly/paypalmarketplace/?sf124579605=1 #RootsPicnic",3/2/2021 12:42,0,1,,
A27376,IBM,Instagram,2020,1,7,Album,https://www.instagram.com/p/B7B4mFPhJqH/,Welcome to the decade of quantum at #CES2020. Click the link in our profile to learn how #IBMQuantum is helping to usher a new era of computing.,3/1/2021 1:14,0,1,,
A7693,Chase,Facebook,2019,10,2,Native Video,https://www.facebook.com/chase/posts/3668280326531231,"What would you do if you got a call from an unfamiliar number and they said your debit card was locked? If it sounds suspicious, it's because it is. This is one of many tactics scammers use to try to get your money and personal information. Check out our Facebook Story to test your knowledge and avoid falling for spoofing scams.",3/3/2021 5:28,0,1,,
A8279,Chipotle Mexican Grill,Facebook,2019,9,16,Photo,https://www.facebook.com/chipotle/posts/10157559861064253,"Guac enthusiasts, this one's for you.",2/3/2021 9:43,0,1,,
A6710,Cartier,Facebook,2019,12,18,Link,https://www.facebook.com/cartier.usa/posts/1495086344001935,Celebrating all that shimmers. #CelebratewithCartier More red box wonders. ow.ly/6Mg530pY8QK:=:https://www.cartier.com/en-us/collections/gifts/for-her/holiday-gifts-her.html?utm_source=facebook&utm_medium=social-cm&utm_campaign=endofyearcampaign,2/10/2021 5:15,0,1,,
A52507,Tide,Facebook,2020,2,2,Native Video,https://www.facebook.com/Tide/posts/10157137478433231,Charlie Day ends up in 1984 where Wonder Woman is having none of his laundry anxiety. #LaundryLater,3/4/2021 11:57,0,1,,
A2073,Audi USA,Facebook,2020,8,20,Photo,https://www.facebook.com/audi/posts/10157201500016470,Our favorite dance? The quick step. #AudiA7,3/15/2021 2:16,0,1,,
A7795,Chase,Facebook,2020,3,4,Native Video,https://www.facebook.com/chase/posts/4192540820771843,We're helping first-time homebuyers open up about their finances with real estate mogul Ryan Serhant. Learn more and watch the full Closer to Home Challenge here: https://homefinancing.chase.com/closer-to-home-challenge,3/3/2021 8:45,0,1,,
A6759,Cartier,Facebook,2020,9,6,Native Video,https://www.facebook.com/cartier.usa/posts/1751513705025863,"A community of personalities, fostering open-mindedness, multidisciplinarity and connection #PashadeCartier #MakeYourOwnPath #GenerationPasha ms.spr.ly/6000Tsupq:=:https://www.cartier.com/en-us/maison/Pasha-de-Cartier.html?utm_source=facebook&utm_medium=social-cm&utm_campaign=pasha2020",2/10/2021 5:47,0,1,,
A26176,Huawei Mobile,Facebook,2019,9,4,Photo,https://www.facebook.com/HuaweimobileUS/posts/2462983913740977,"Stylish outside, powerful inside. The ultra-slim MateBook X Pro i7 is equipped with 8th Gen Intel Core i7-8550U processor and NVIDIA GeForce MX150 graphics. Limited 2018 quantities remain. Click on â€œFind in Storeâ€ to check availability: http://bit.ly/2RO8SfN:=:https://www.microsoft.com/en-us/p/huawei-matebook-x-pro-laptop/8N4K86D4J006/4X0P?activetab=pivot:overviewtab #HUAWEIMateBookXPro #MateBook #Laptop #SlimLaptop",2/15/2021 7:28,0,1,,
A52545,Tide,Instagram,2020,2,2,Video,https://www.instagram.com/p/B8FWtNxhP0N/,The best time to do laundry is later â€” but when is later? @charliedayofficial tries to figure it out while @emilyhampshire knows new Tide Power PODS will get it out whenever she gets around to it. Like later. #LaundryLater #SuperBowlLIV #SuperBowl54,3/4/2021 12:23,0,1,,
A1974,Audi USA,Facebook,2019,10,19,Photo,https://www.facebook.com/audi/posts/10156364115276470,Waiting for the countdown. #AudiRS5 #SpeedGoals,3/8/2021 3:43,0,1,,
A52542,Tide,Instagram,2019,9,26,Video,https://www.instagram.com/p/B24ifLQAXwo/,"The #LaundryNight debate has officially gotten out of hand. Can someone settle this, please?! ðŸ˜­",3/4/2021 12:22,0,1,,
A40155,Pepsi,Instagram,2020,1,7,Photo,https://www.instagram.com/p/B7B9Ji8HSDW/,Coming soon @regalmovies,3/1/2021 9:19,0,1,,
A18261,Estee Lauder,Facebook,2019,10,16,Native Video,https://www.facebook.com/EsteeLauder/posts/10158817256977619,Take a seat with our #EsteeModels and hear what makes #DoubleWear foundation worthy of 5 stars. #WearConfidence https://estee.cm/2odNHqa:=:https://www.esteelauder.com/product/643/22830/product-catalog/makeup/face/foundations/double-wear/stay-in-place-makeup?linkId=100000008443359#/shade/0n1-alabaster---neutral-undertone?utm_medium=organic_social&utm_source=facebook&utm_campaign=organic_social&utm_content=fa19_doublewearsipmatte_10.17.19_,2/5/2021 1:46,0,1,,
A18254,Estee Lauder,Facebook,2019,10,8,Native Video,https://www.facebook.com/EsteeLauder/posts/10158790473072619,"Nearly 10,000 hours in the making. One of natureâ€™s rarest treasures: Black Diamond Truffle Extract. Two exquisite elixirs. Experience the feeling of pure power with Re-Nutriv Ultimate Diamond Dual Infusion and live a life of extraordinary beauty. Learn more: https://estee.cm/2AL8BQ1:=:https://www.esteelauder.com/re-nutriv/collections/ultimate-diamond?utm_medium=organic_social&utm_source=facebook&utm_campaign=organic_social&utm_content=fa19_dualinfusionherofilm_10.8.19_&linkId=100000008408611",2/5/2021 1:40,0,1,,
A8416,Chipotle Mexican Grill,Instagram,2020,9,2,Photo,https://www.instagram.com/p/CEpQR-PjZPk/,ðŸŒ¯ðŸ‘„ðŸŒ¯,2/5/2021 3:24,0,1,,
A7770,Chase,Facebook,2020,1,24,Native Video,https://www.facebook.com/chase/posts/4058049164221010,You set your goals. Weâ€™ll help you get there. Learn more about Autosave at: http://chase.com/banking:=:https://www.chase.com/banking,3/3/2021 6:36,0,1,,
A8336,Chipotle Mexican Grill,Facebook,2020,9,18,Photo,https://www.facebook.com/chipotle/posts/10158658547094253,Idk how youâ€™ll prove it but,2/4/2021 12:27,0,1,,
A6700,Cartier,Facebook,2019,11,22,Native Video,https://www.facebook.com/cartier.usa/posts/1482966551880581,"Cartier's savoir-faire is in a spirit of dynamic exchanges: an ongoing dialogue between designers and artisans, between drawing and material, between style and the art of creating. For Cartier, what is most important in the word â€œsavoir-faireâ€ is the union of the two words. #CartierSavoirFaire #SavoirFaire #Cartier ow.ly/cqCh30pUMbP:=:https://www.cartier.com/en-us/collections/jewelry/exceptional-creations/magnitude.html?utm_source=facebook&utm_medium=social-cm&utm_campaign=savoirfairemagnitude",2/10/2021 5:10,0,1,,
A40149,Pepsi,Instagram,2019,11,22,Photo,https://www.instagram.com/p/B5L4QcKnhgR/,"Your restless spirit has you feeling that pang of wanderlust. Take a trip to the fridge, cause that pang means youâ€™re probably just hungry.",3/1/2021 9:16,0,1,,
A8366,Chipotle Mexican Grill,Instagram,2020,3,26,Photo,https://www.instagram.com/p/B-Na60HD7mL/,Put us in an Instagram group chat with your friends who wanna have a Chipotle @houseparty. We know a guy who has burritos ðŸ˜,2/5/2021 2:25,0,1,,
A2009,Audi USA,Facebook,2020,1,9,Photo,https://www.facebook.com/audi/posts/10156589652961470,Roomy with a view. #AudiQ8 #EuroSpec,3/15/2021 1:46,0,1,,
A7777,Chase,Facebook,2020,1,31,Native Video,https://www.facebook.com/chase/posts/4080287268663866,"Need your bank account and routing numbers on the go? You always have easy access through the Chase MobileÂ® app. Watch this video to learn how, then check out some other ways to help you make the most of the app here: http://bit.ly/2uKSNNv:=:https://www.chase.com/digital/resources/helpful-tips",3/3/2021 6:42,0,1,,
A8373,Chipotle Mexican Grill,Instagram,2020,4,16,Video,https://www.instagram.com/p/B_DDPNBDxlD/,Look whoâ€™s back to deliver the goods. Tag a friend below and weâ€™ll send 100 lucky people a burrito today.,2/5/2021 2:29,0,1,,
A9722,Coca-Cola,Instagram,2020,1,22,Photo,https://www.instagram.com/p/B7ot_tBJyWq/,Seeing the ðŸŒŽ with a little more â¤ï¸ thanks to An An. #MyCocaCola,3/4/2021 7:49,0,1,,
A26175,Huawei Mobile,Facebook,2019,9,3,Photo,https://www.facebook.com/HuaweimobileUS/posts/2462980407074661,"Feeling the post-Labor Day blues? Let us cheer you up with $250 off the MateBook 13. Featuring a full-size keyboard, large trackpad, and an Intel i5 processor, this ultra-portable 13-inch laptop is a deal at $749. http://bit.ly/2XLrLi7:=:https://www.microsoft.com/en-us/p/huawei-matebook-13-53010fkr-laptop/91BX25B48SPJ/7SFF?activetab=pivot:overviewtab #HUAWEIMateBook13 #MateBook #Laptop",2/15/2021 7:28,0,1,,
A2086,Audi USA,Facebook,2020,9,21,Photo,https://www.facebook.com/audi/posts/10157272193266470,Something to rally around. #AudiForzaPhotos ðŸ“¸: Armin H.,3/15/2021 2:19,0,1,,
A40099,Pepsi,Facebook,2019,11,4,Native Video,https://www.facebook.com/PepsiUS/posts/10158108169309050,"Nice List, Party of 1. Unlock up to $25,000 from Pepsi to Gift it Forward this holiday season.",3/1/2021 8:10,0,1,,
A27364,IBM,Instagram,2019,11,18,IGTV,https://www.instagram.com/tv/B5A9PPaBeBD/,"What does a day without IBM look like? Watch Techless in Tokyo, where people must complete seemingly simple tasks without using anything we invented or could use our technology: https://ibm.co/2Xlr7ZT",3/1/2021 1:04,0,1,,
